Código;Local/Unidade
01.01.0007.01.0001;ADMINISTRACAO
01.01.0007.04.0001;ADMINISTRAÇÃO - INTERMITENTES
01.01.0057;ADMINISTRATIVO LIC MATERNIDADE
01.01.0026;ADVOCACIA GERAL DA UNIAO - ACRE
01.01.0022;ADVOCACIA GERAL DA UNIAO - RONDONIA
01.01.0089;AFASTADO INSS
01.01.0089.01.0001;AFASTADO INSS 
01.01.0008;AGENCIA AMAZONENSE DE DESENVOLVIMENTO CULTURAL
01.01.0023.01.0001;AGÊNCIA NACIONAL DE MINERAÇÃO
01.01.0023;AGENCIA NACIONAL DE MINERACAO - RONDONIA
01.01.0022.01.0001;AGU - PORTO VELHO
01.01.0022.01.0002;AGU - RIO BRANCO
01.01.0026.01.0002;AGU - RIO BRANCO
01.01.0078;APRENDIZES
01.01.0078.01;APRENDIZES
01.01.0078.01.0001;APRENDIZES
01.01.0015;BARCO
01.01.0015.01.0001;BARCO
01.01.0015.02.0001;BARCO - NAO PAGAR
01.01.0049;CENTRO DE PESQUISA LEONIDAS MARIA DEANE
01.01.0074.01;CETAM
01.01.0074.01.0014;CETAM - ALVARAES
01.01.0074.01.0015;CETAM - AUTAZES
01.01.0074.01.0016;CETAM - BORBA
01.01.0074.01.0017;CETAM - CAAPIRANGA
01.01.0074.01.0018;CETAM - CARAUARI
01.01.0074.01.0019;CETAM - CAREIRO CASTANHO
01.01.0074.01.0002;CETAM - CAREIRO DA VARZEA
01.01.0074.01.0020;CETAM - CODAJAS
01.01.0074.01.0004;CETAM - GASTRONOMIA
01.01.0074.01.0021;CETAM - HUMAITA
01.01.0074.02.0001;CETAM - INTERMITENTE
01.01.0074.01.0022;CETAM - IRANDUBA
01.01.0074.01.0023;CETAM - MANACAPURU
01.01.0074.01.0024;CETAM - MANAQUIRI
01.01.0074.01.0027;CETAM - MANAUS ANIBAL BEÇA
01.01.0074.01.0025;CETAM - MANICORE
01.01.0074.01.0026;CETAM - MAUES
01.01.0074.01.0007;CETAM - NOVO AIRÃO
01.01.0074.01.0008;CETAM - NOVO ARIPUANA
01.01.0074.01.0009;CETAM - PARINTINS
01.01.0074.01.0003;CETAM - PRES. FIGUEIREDO
01.01.0074.01.0006;CETAM - PRESIDÊNCIA
01.01.0074.01.0010;CETAM - RIO PRETO DA EVA
01.01.0074.01.0011;CETAM - S. GABRIEL DA CACHOEIRA
01.01.0074.01.0012;CETAM - TABATINGA
01.01.0074.01.0013;CETAM - TAPAUA
01.01.0074.01.0005;CETAM - ZONA LESTE
01.01.0074;CETAM CENTRO DE EDUCACAO TECNOLOGICA DO AMAZONAS
01.01.0062;CONDOMINIO RESIDENCIAL PARADISE LAKE
01.01.0040;CONS. REGIONAL DE ENG. E AGRO. - BAHIA
01;CONTATO SERVICOS DE CONSERVACAO E MANUTENCAO LTDA
01.01.0087.01.0001;CONTRATOS EM TRANSICAO ADMINISTRATIVO CONTATO
01.01.0038;DEFENSORIA PUBLICA DA UNIAO - SAO PAULO
01.01.0019;DELEGACIA DA RECEITA FEDERAL - ACRE
01.01.0073;DELEGACIA DA RECEITA FEDERAL - AEROPORTO
01.01.0043;DELEGACIA DA RECEITA FEDERAL - MANAUS
01.01.0017;DELEGACIA DA RECEITA FEDERAL - RORAIMA
01.01.0061;DELEGACIA DA RECEITA FEDERAL DO BRASIL
01.01.0007;DEPARTAMENTO ADMINISTRATIVO
01.01.0004;DEPARTAMENTO ESTADUAL DE TRANSITO
01.01.0007.01;DESPESAS ADMINISTRATIVAS
01.01.0007.02;DESPESAS ADMINISTRATIVAS OPERACIONAIS
01.01.0004.02.0001;DETRAN - INTERMITENTE
01.01.0004.01.0001;DETRAN - MANAUS
01.01.0007.01.0002;DIRETORIA EXECUTIVA
01.01.0007.01.0003;DIRETORIA FINANCEIRA
01.01.0037;DIST SANITARIO ESPECIAL INDIGENA - INTERIOR SUL
01.01.0028;DPTO. NACIONAL DE INFRAESTRUTURA DE TRANSP. - ACRE
01.01.0073.01.0010;DRF - AEROPORTO
01.01.0061.01.0013;DRF - BAURU
01.01.0073.01.0012;DRF - COMPLEXO SEDE
01.01.0073.01.0013;DRF - DEPOSITO
01.01.0012;DSEI - ALTAMIRA
01.01.0084;ESTAGIARIO
01.01.0084.01.0001;ESTAGIARIOS
01.01.0001.01.0006;FAAR - AMADEU TEIXEIRA
01.01.0001.01.0005;FAAR - ARENA AMAZONIA
01.01.0001.01.0010;FAAR - CARLOS ZAMITH
01.01.0001.01.0008;FAAR - COLINA
01.01.0001.01.0002;FAAR - CONSERVAÇÃO
01.01.0001.01.0009;FAAR - OSVALDO FROTA
01.01.0001.01.0007;FAAR - RENNE MONTEIRO
01.01.0001.01.0004;FAAR - VILA OLIMPICA
01.01.0001;FAAR MANUTENCAO E CONSERVACAO
01.01.0049.01.0002;FIOCRUZ - CONSERVAÇÃO
01.01.0049.01.0004;FIOCRUZ - FUNASA
01.01.0049.01.0003;FIOCRUZ - LÊONIDAS MARIA DEANE
01.01.0049.01.0001;FIOCRUZ - MANAUS
01.01.0027.01.0001;FUFMT - CUIABA
01.01.0054.01.0002;FUFMT - PONTAL DO ARAGUAIA
01.01.0053;FUNASA - BA
01.01.0053.01.0001;FUNASA - SALVADOR   01
01.01.0072;FUNDAÇÃO DE ALTO RENDIMENTO - ADM
01.01.0009;FUNDAÇÃO DE ALTO RENDIMENTO - APOIO ADM
01.01.0002;FUNDACAO DE ALTO RENDIMENTO - CONSERVACAO
01.01.0006;FUNDACAO MUNICIPAL DE CULTURA, TURISMO E EVENTOS
01.01.0034;FUNDACAO NACIONAL DO INDIO - FUNAI
01.01.0014;ICMBIO - MATO GROSSO
01.01.0021;ICMBIO - TOCANTINS
01.01.0075;IF RN - MOSSORO
01.01.0076.01.0001;IFAM - IRANDUBA
01.01.0077.01.0002;IFAM - MANACAPURU
01.01.0088;IFAM TEFE
01.01.0088.01.0001;IFAM TEFE
01.01.0042.01.0003;IFFAR - CAMPUS ALEGRETE
01.01.0042.01.0002;IFFAR - FREDERICO WESTPHALEN
01.01.0042.01.0001;IFFAR - URUGUAIANA
01.01.0047.01.0001;IFMS - CORUMBA
01.01.0047.01.0003;IFMS - NOVA ANDRADINA
01.01.0047.01.0002;IFMS - TRES LAGOAS
01.01.0058.01.0001;IFP - ITABAINA
01.01.0082.01.0008;IFRN - CANGUARETAMA
01.01.0064;IFRN - CEARA MIRIM
01.01.0063;IFRN - CIDADE ALTA RIO BRANCO
01.01.0065;IFRN - CIDADE ALTA ROCAS
01.01.0066;IFRN - CURRAIS NOVOS
01.01.0080.01.0009;IFRN - LAJES
01.01.0075.01.0010;IFRN - MOSSORO
01.01.0056.01.0001;IFRN - NATAL CENTRAL
01.01.0068;IFRN - PARELHAS
01.01.0081.01.0012;IFRN - PARNAMIRIM
01.01.0069;IFRN - RETORIA
01.01.0067;IFRN - SAO GONCALO
01.01.0082;IFRN CANGUARETAMA
01.01.0080;IFRN LAJES
01.01.0081;IFRN PARNAMIRIM
01.01.0045.01.0001;IFSMG - MUZAMBINHO
01.01.0005.01.0002;IMPLURB - ARQUIVO
01.01.0005.01.0003;IMPLURB - PONTA NEGRA
01.01.0005.01.0001;IMPLURB - SEDE
01.01.0059;IMPLURB - SEDE
01.01.0005.01.0004;IMPLURB - VPRESHAF
01.01.0058;INS FEDERAL DE COMUNIC CIEN E TECNOLOGIA-PARAIBA
01.01.0025;INST PATRIMONIO HISTORIOCO ART NACIONAL - PARAIBA
01.01.0024;INSTITUTO DE SAUDE E BIOTECNOLOGIA - COARI
01.01.0035;INSTITUTO DO PATRIMONIO HISTORICO - ALAGOAS
01.01.0033;INSTITUTO DO PATRIMONIO HISTORICO - GOIAS
01.01.0048;INSTITUTO FEDERAL - ES
01.01.0044;INSTITUTO FEDERAL CATARINENSE
01.01.0060;INSTITUTO FEDERAL CEARA
01.01.0032;INSTITUTO FEDERAL DA PARAIBA
01.01.0042;INSTITUTO FEDERAL DE FARROUPILHAS
01.01.0045;INSTITUTO FEDERAL DE MUZAMBINHO
01.01.0071;INSTITUTO FEDERAL DE MUZAMBINHO - SUL DE MINAS
01.01.0076;INSTITUTO FEDERAL DO AMAZONAS - IRANDUBA
01.01.0077;INSTITUTO FEDERAL DO AMAZONAS - MANACAPURU
01.01.0052;INSTITUTO FEDERAL MG - RIO POMBA
01.01.0036;INSTITUTO FEDERAL MINAS GERAIS - CAMPUS ARACUAI
01.01.0047;INSTITUTO FEDERAL MS
01.01.0056;INSTITUTO FEDERAL RN - NATAL
01.01.0031;INSTITUTO FEDERAL RS - CAMPUS CANOAS
01.01.0005;INSTITUTO MUNICIPAL DE PLANEJAMENTO URBANO
01.01.0007.03;INSTITUTO PCD
01.01.0007.03.0001;INSTITUTO PCD
01.01.0083;INTERMITENTE
01.01.0035.01.0006;IPHAN - ALAGOAS
01.01.0033.01.0002;IPHAN - CIDADE DE GOIAS
01.01.0033.01.0001;IPHAN - GOIANIA
01.01.0025.01.0005;IPHAN - JOAO PESSOA
01.01.0033.01.0007;IPHAN - PIRENOPOLIS
01.01.0024.01.0001;ISB - COARI
01.01.0050.01.0009;JUSTIÇA FEDERAL - ARARANGUA
01.01.0050.01.0006;JUSTIÇA FEDERAL - CRICIUMA
01.01.0050.01.0002;JUSTIÇA FEDERAL - JARAGUÁ DO SUL
01.01.0050.01.0003;JUSTIÇA FEDERAL - JOINVILE
01.01.0050.01.0007;JUSTIÇA FEDERAL - LAGUNA
01.01.0050.01.0004;JUSTIÇA FEDERAL - MAFRA
01.01.0051.01.0001;JUSTIÇA FEDERAL - PORTO VELHO
01.01.0051;JUSTICA FEDERAL - RONDONIA
01.01.0050.01.0005;JUSTIÇA FEDERAL - SÃO FRANCISCO DO SUL
01.01.0050;JUSTICA FEDERAL - SC
01.01.0050.01.0008;JUSTIÇA FEDERAL - TUBARÃO
01.01.0057.01.0001;LICENÇA MATERNIDADE
01.01.0090;LICENÇA SEM VENCIMENTO
01.01.0090.01.0001;LICENÇA SEM VENCIMENTO
01.01.0046;MINIST. DA AGRICULTURA, PECUARIA E ABASTECIMENTO
01.01.0016;MINISTERIO DA AGRICULTURA - RONDONIA
01.01.0039.01.0004;MPF - CAMPINA GRANDE
01.01.0039.01.0005;MPF - JOAO PESSOA
01.01.0020.01.0006;MPF - MANAUS
01.01.0039.01.0001;MPF - PATOS
01.01.0039.01.0003;MPF - SOUSA
01.01.0070.01.0008;PRF - AGUA PRETA
01.01.0070.01.0006;PRF - CANIL
01.01.0070.01.0016;PRF - CARUARU
01.01.0070.01.0009;PRF - FLORESTA
01.01.0070.01.0015;PRF - GARANHUS
01.01.0070.01.0010;PRF - GRAVATA
01.01.0070.01.0005;PRF - HANGAR
01.01.0070.01.0011;PRF - IGARASSU
01.01.0070.01.0012;PRF - OURICURI
01.01.0070.01.0004;PRF - PETROLINA
01.01.0070.01.0013;PRF - RAJADA
01.01.0070.01.0001;PRF - RECIFE
01.01.0070.01.0003;PRF - SALGUEIRO
01.01.0070.01.0017;PRF - SANTA MARIA DA BOA VISTA
01.01.0070.01.0014;PRF - SÃO CAETANO
01.01.0070.01.0002;PRF - SERRA TALHADA
01.01.0070.01.0018;PRF - SERTANIA
01.01.0070.01.0019;PRF - TREVO DO IBO
01.01.0020;PROCURADORIA DA REPUBLICA - MANAUS
